#DIGITAL/ANALOG/CASE,IN,HEADER,PIN
D,1,P8,37
D,2,P8,38
D,3,P8,39
D,4,P8,40
D,5,P8,41
D,6,P8,42
D,7,P8,43
D,8,P8,44
D,9,P8,45
D,10,P8,46
D,11,P9,42
D,12,P9,31
D,13,P9,30
D,14,P9,29
D,15,P9,28
D,16,P9,27
D,17,P9,25
D,18,P9,23
D,19,P9,22
D,20,P9,21
D,21,P9,18
D,22,P9,17
D,23,P9,16
D,24,P9,15
D,25,P9,14
D,26,P9,13
D,27,P9,12
D,28,P9,11
D,29,P8,36
D,30,P8,35
D,31,P8,34
D,32,P8,33
D,33,P8,32
D,34,P8,31
D,35,P8,30
D,36,P8,29
D,37,P8,28
D,38,P8,27
D,39,P8,26
D,40,P8,19
D,41,P8,18
D,42,P8,17
D,43,P8,16
D,44,P8,15
D,45,P8,14
D,46,P8,13
D,47,P8,12
D,48,P8,11
D,49,P8,10
D,50,P8,9
D,51,P8,8
D,52,P8,7
C,1,P9,41
A,1,P9,33
A,2,P9,36
A,3,P9,35
A,4,P9,38
A,5,P9,37
A,6,P9,40
A,7,P9,39
